model_label,model,mae,wis,wis_over,wis_under,wis_disp,cov_50_rate,cov_95_rate,n_forecasts
KR_nnetar_log,KReger-nnetar_log,0.435802345196942,0.28339255114726636,0.08229878743401034,0.1086327532047192,0.09246101050853721,0.39712918660287083,0.8903508771929824,2508
KR_nnetar_bc,KReger-nnetar_bc_bs,0.42910396027523917,0.2837674451229726,0.08755456672264256,0.1100774357217656,0.0861354426785651,0.38596491228070173,0.8696172248803827,2508
KR_stl_arima,KReger-stl_arima_bc,0.4438923602805775,0.28803205681598093,0.04273047303991465,0.14250004045684822,0.10280154331921751,0.49282296650717705,0.9585326953748007,2508
KR_arima_bc,KReger-arima_bc_bs,0.4686599072011923,0.2990851463568473,0.05088090597732224,0.11879409274883238,0.129410147630693,0.529505582137161,0.9884370015948963,2508
delphi_epi,delphi-epicast,0.4397483022373582,0.310822192258223,0.09890062383815697,0.07415225452763619,0.13776931389242972,0.47208931419457734,0.9529505582137161,2508
KR_arima_log,KReger-arima_log,0.4802218703766853,0.3119350037819893,0.052593935044793406,0.11509591390037606,0.14424515483681952,0.5434609250398724,0.990829346092504,2508
KR_ets_bc,KReger-ets_bc,0.5256206920697623,0.33051378029262124,0.09432114952068357,0.08802619241544381,0.14816643835649473,0.5067783094098883,0.9864433811802232,2508
KR_ets_log,KReger-ets_log,0.5360358224260752,0.34053752802956044,0.09241148402935671,0.0858065151095849,0.16231952889061896,0.518341307814992,0.9900318979266348,2508
efm_naive,efm-NAIVEnobs,0.5388642878787879,0.35489790818432715,0.10115291519652904,0.09485422680394733,0.15889076618384998,0.6096491228070176,0.9429824561403509,2508
adk_rwd,adk-rwdriftbs,0.5383903359624761,0.3581120743634352,0.12500256708404595,0.12452822774599856,0.10858127953339239,0.3815789473684211,0.9278309409888357,2508
hcr_rwd,hcr64-rw_driftNOBS,0.5458331394419995,0.35836554678609533,0.10613598850823587,0.09642990739828988,0.155799650879569,0.5956937799043063,0.9366028708133971,2508
slm_naive,slm854-naivebs,0.5875334908555928,0.3939287388492711,0.13518192487056177,0.12323560457541158,0.13551120940329683,0.4892344497607656,0.8293460925039873,2508
KR_hist_wk,KReger-hist_week,0.6450340109168686,0.4348433700940491,0.04745565905444544,0.20308979326103485,0.18429791777856896,0.4904306220095694,0.8740031897926634,2508
KR_bsts,KReger-bsts_seasonal,0.719730415042554,0.48384589184350096,0.14971217251033891,0.09608808630781376,0.2380456330253482,0.6766347687400319,0.9529505582137161,2508
KR_tslm,KReger-tslm_fourier,0.7741408500202294,0.48775879926628285,0.09827155330954879,0.14787681238646608,0.24161043357026826,0.5119617224880383,0.9952153110047847,2508
atsf_meanNB,atsf-meannonbs,0.8573120731396714,0.5948872206689177,0.017918919563955846,0.3034170819794358,0.27355121912552677,0.6698564593301436,0.9370015948963317,2508
KR_snaive_bc,KReger-snaive_bc_bs,0.9530755290942738,0.62591637330087,0.19709982170418308,0.1878924596212172,0.2409240919754725,0.49760765550239233,0.9896331738437002,2508
atsf_mean,atsf-meanbs,1.0745168888590688,0.6549552564423217,0.00511751940804876,0.4476429285146376,0.20219480851963553,0.4944178628389155,0.9776714513556619,2508
syed_snv,syed-snaivebs,0.9499020718231004,0.6576624793576039,0.28277535428512307,0.22584411176348973,0.14904301330899644,0.3736044657097289,0.9569377990430622,2508
ata_snv,ata266-snaivenonbs,0.9739675756150877,0.6709698708306923,0.21042317176306874,0.15950155433535684,0.3010451447322663,0.6491228070175439,0.9362041467304625,2508
